2016-17 Team Roster
PLAYER	NO.	POS	HEIGHT	WEIGHT	BIRTHDATE	AGE	EXP	SCHOOL
Kevin Love
#0	F	6-10	251 lbs	SEP 07, 1988	28	8	UCLA
James Jones
#1	G-F	6-8	218 lbs	OCT 04, 1980	36	13	Miami (FL)
Kyrie Irving
#2	G	6-3	193 lbs	MAR 23, 1992	24	5	Duke
Derrick Williams
#3	F	6-8	240 lbs	MAY 25, 1991	25	5	Arizona
Iman Shumpert
#4	G	6-5	220 lbs	JUN 26, 1990	26	5	Georgia Tech
JR Smith
#5	G	6-6	225 lbs	SEP 09, 1985	31	12	St. Benedict's Prep (NJ)
Channing Frye
#8	F	6-11	255 lbs	MAY 17, 1983	33	10	Arizona
Larry Sanders
#9	F-C	6-11	230 lbs	NOV 21, 1988	28	5	Virginia Commonwealth
Tristan Thompson
#13	C	6-9	238 lbs	MAR 13, 1991	26	5	Texas
DeAndre Liggins
#14	G	6-6	209 lbs	MAR 31, 1988	28	3	Kentucky
Kay Felder
#20	G	5-9	176 lbs	MAR 29, 1995	21	R	Oakland
LeBron James
#23	F	6-8	250 lbs	DEC 30, 1984	32	13	St. Vincent-St. Mary HS (OH)
Richard Jefferson
#24	F	6-7	233 lbs	JUN 21, 1980	36	15	Arizona
Kyle Korver
#26	G	6-7	212 lbs	MAR 17, 1981	36	13	Creighton
Deron Williams
#31	G	6-3	200 lbs	JUN 26, 1984	32	11	Illinois
